QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 -90
100101 399.27 -199.63 -90
100102 399.27 -200.37 -90
100103 399.63 -200.73 -90
100104 399.63 -200.37 -90
100105 399.63 -199.63 -90
100106 400.37 -199.27 -90
100107 400.37 -199.63 -90
100109 400.37 -200.37 -90
100110 400.37 -200.73 -90
100111 400.73 -200.37 -90
100114 400.73 -199.63 -90
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:19:4.990796,-nan,-nan,-nan,-nan,1724235544.9908,-nan,-nan,-nan
2024-8-21_18:19:6.250835,0.0002,0.0002,-0.0000,0.0000,1724235546.2508,401.0783,-198.8989,179.1200
2024-8-21_18:19:6.260829,0.0002,-0.0001,-0.0001,-0.0100,1724235546.2608,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.267740,0.0000,0.0000,0.0000,0.0000,1724235546.2677,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.270825,0.0002,0.0002,-0.0000,0.0000,1724235546.2708,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.280855,0.0000,0.0000,0.0000,0.0000,1724235546.2809,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.287790,0.0000,0.0000,0.0000,0.0000,1724235546.2878,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.290825,0.0002,-0.0002,0.0000,0.0000,1724235546.2908,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.300857,0.0006,0.0004,-0.0004,-0.0300,1724235546.3009,401.0785,-198.8994,179.0800
2024-8-21_18:19:6.307794,0.0000,0.0000,0.0000,0.0000,1724235546.3078,401.0785,-198.8994,179.0800
2024-8-21_18:19:6.310837,0.0004,-0.0003,0.0003,0.0200,1724235546.3108,401.0782,-198.8992,179.1000
2024-8-21_18:19:6.320842,0.0003,0.0003,-0.0001,-0.0100,1724235546.3208,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.327890,0.0000,0.0000,0.0000,0.0000,1724235546.3279,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.330841,0.0004,-0.0003,0.0003,0.0200,1724235546.3308,401.0781,-198.8991,179.1100
2024-8-21_18:19:6.340877,0.0002,0.0002,-0.0000,0.0000,1724235546.3409,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.348186,0.0000,0.0000,0.0000,0.0000,1724235546.3482,401.0783,-198.8991,179.1100
2024-8-21_18:19:6.350855,0.0003,0.0001,-0.0002,-0.0200,1724235546.3509,401.0785,-198.8993,179.0900
2024-8-21_18:19:6.360847,0.0000,0.0000,0.0000,0.0000,1724235546.3608,401.0785,-198.8993,179.0900
