QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 0
100101 399.27 -199.63 0
100102 399.27 -200.37 0
100103 399.63 -200.73 0
100104 399.63 -200.37 0
100105 399.63 -199.63 0
100106 400.37 -199.27 0
100107 400.37 -199.63 0
100109 400.37 -200.37 0
100110 400.37 -200.73 0
100111 400.73 -200.37 0
100114 400.73 -199.63 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:24:46.349611,-nan,-nan,-nan,-nan,1724235886.3496,-nan,-nan,-nan
2024-8-21_18:24:46.847648,0.0000,0.0000,0.0000,0.0000,1724235886.8476,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.849711,0.0002,-0.0001,0.0001,0.0100,1724235886.8497,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.859718,0.0003,0.0002,0.0001,-0.0200,1724235886.8597,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.867612,0.0000,0.0000,0.0000,0.0000,1724235886.8676,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.869706,0.0002,-0.0000,-0.0002,-0.0000,1724235886.8697,399.9993,-198.5617,-90.9100
2024-8-21_18:24:46.879734,0.0004,-0.0004,0.0000,0.0300,1724235886.8797,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.887635,0.0000,0.0000,0.0000,0.0000,1724235886.8876,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.889704,0.0002,0.0001,-0.0001,-0.0100,1724235886.8897,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.899703,0.0000,0.0000,0.0000,0.0000,1724235886.8997,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.907693,0.0000,0.0000,0.0000,0.0000,1724235886.9077,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.909707,0.0000,0.0000,0.0000,0.0000,1724235886.9097,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.919719,0.0001,0.0001,0.0001,-0.0100,1724235886.9197,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.927669,0.0000,0.0000,0.0000,0.0000,1724235886.9277,399.9992,-198.5618,-90.9000
2024-8-21_18:24:46.929709,0.0001,-0.0001,-0.0001,0.0100,1724235886.9297,399.9991,-198.5619,-90.8900
2024-8-21_18:24:46.939717,0.0002,0.0000,0.0002,0.0000,1724235886.9397,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.947680,0.0000,0.0000,0.0000,0.0000,1724235886.9477,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.949736,0.0001,-0.0001,-0.0001,0.0100,1724235886.9497,399.9989,-198.5617,-90.8800
2024-8-21_18:24:46.959753,0.0007,0.0006,0.0003,-0.0500,1724235886.9598,399.9996,-198.5614,-90.9300
2024-8-21_18:24:46.967663,0.0000,0.0000,0.0000,0.0000,1724235886.9677,399.9996,-198.5614,-90.9300
2024-8-21_18:24:46.969708,0.0006,-0.0005,-0.0003,0.0400,1724235886.9697,399.9991,-198.5617,-90.8900
2024-8-21_18:24:46.979711,0.0003,0.0002,0.0001,-0.0200,1724235886.9797,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.987602,0.0000,0.0000,0.0000,0.0000,1724235886.9876,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.989743,0.0000,0.0000,0.0000,-0.0000,1724235886.9897,399.9993,-198.5615,-90.9100
2024-8-21_18:24:46.999701,0.0003,-0.0002,-0.0001,0.0200,1724235886.9997,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.007652,0.0000,0.0000,0.0000,0.0000,1724235887.0077,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.009767,0.0002,-0.0000,-0.0002,0.0000,1724235887.0098,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.019711,0.0000,0.0000,0.0000,0.0000,1724235887.0197,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.027674,0.0000,0.0000,0.0000,0.0000,1724235887.0277,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.029707,0.0001,0.0001,0.0001,-0.0100,1724235887.0297,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.039742,0.0003,0.0001,0.0003,-0.0100,1724235887.0397,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.047639,0.0000,0.0000,0.0000,0.0000,1724235887.0476,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.049711,0.0000,0.0000,0.0000,-0.0000,1724235887.0497,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.059775,0.0002,-0.0000,-0.0002,0.0000,1724235887.0598,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.067696,0.0000,0.0000,0.0000,0.0000,1724235887.0677,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.069704,0.0003,-0.0002,-0.0001,0.0200,1724235887.0697,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.079718,0.0001,-0.0001,-0.0001,0.0100,1724235887.0797,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.087742,0.0000,0.0000,0.0000,0.0000,1724235887.0877,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.089713,0.0004,0.0004,0.0002,-0.0300,1724235887.0897,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.099712,0.0000,0.0000,0.0000,0.0000,1724235887.0997,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.107811,0.0000,0.0000,0.0000,0.0000,1724235887.1078,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.109712,0.0003,-0.0002,0.0001,0.0200,1724235887.1097,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.119746,0.0004,0.0004,-0.0000,-0.0300,1724235887.1197,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.127723,0.0000,0.0000,0.0000,-0.0000,1724235887.1277,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.129709,0.0003,-0.0002,0.0001,0.0200,1724235887.1297,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.139779,0.0001,0.0001,0.0001,-0.0100,1724235887.1398,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.147738,0.0000,0.0000,0.0000,0.0000,1724235887.1477,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.149708,0.0003,-0.0002,-0.0001,0.0200,1724235887.1497,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.159797,0.0003,0.0002,0.0001,-0.0200,1724235887.1598,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.167843,0.0000,0.0000,0.0000,0.0000,1724235887.1678,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.169713,0.0001,-0.0001,-0.0001,0.0100,1724235887.1697,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.179747,0.0001,0.0001,0.0001,-0.0100,1724235887.1797,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.187975,0.0000,0.0000,0.0000,0.0000,1724235887.1880,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.189727,0.0003,-0.0001,-0.0003,0.0100,1724235887.1897,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.199732,0.0002,-0.0001,0.0001,0.0100,1724235887.1997,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.208407,0.0000,0.0000,0.0000,0.0000,1724235887.2084,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.209748,0.0003,-0.0001,-0.0003,0.0100,1724235887.2097,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.219771,0.0003,0.0002,0.0001,-0.0200,1724235887.2198,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.228050,0.0000,0.0000,0.0000,0.0000,1724235887.2280,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.229734,0.0000,0.0000,0.0000,0.0000,1724235887.2297,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.239721,0.0002,-0.0001,0.0001,0.0100,1724235887.2397,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.247675,0.0000,0.0000,0.0000,0.0000,1724235887.2477,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.249755,0.0001,0.0001,0.0001,-0.0100,1724235887.2498,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.259742,0.0003,-0.0001,-0.0003,0.0100,1724235887.2597,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.267606,0.0000,0.0000,0.0000,0.0000,1724235887.2676,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.269725,0.0002,-0.0001,0.0001,0.0100,1724235887.2697,399.9989,-198.5617,-90.8800
2024-8-21_18:24:47.279734,0.0005,0.0005,0.0000,-0.0400,1724235887.2797,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.287813,0.0000,0.0000,0.0000,-0.0000,1724235887.2878,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.289703,0.0003,-0.0002,0.0001,0.0200,1724235887.2897,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.299824,0.0003,-0.0002,-0.0001,0.0200,1724235887.2998,399.9989,-198.5617,-90.8800
2024-8-21_18:24:47.307671,0.0000,0.0000,0.0000,0.0000,1724235887.3077,399.9989,-198.5617,-90.8800
