1 0 0 25.687 3.479 0.009 
5 11 2 100026 0 0 0
5 11 3 100027 0 0 0
5 12 1 100140 0 0 0
5 12 2 100141 0 0 0
5 12 3 100142 0 0 0
5 13 1 100143 0 0 0
5 13 2 100144 0 0 0
5 13 3 100145 0 0 0
5 14 1 100146 0 0 0
5 14 2 100147 0 0 0
5 14 3 100148 0 0 0
5 15 1 100149 0 0 0
5 15 2 100150 0 0 0
5 15 3 100151 0 0 0
5 16 1 100152 0 0 0
5 16 2 100153 0 0 0
5 16 3 100154 0 0 0
5 17 1 100155 0 0 0
5 17 2 100156 0 0 0
5 17 3 100157 0 0 0
5 18 1 100158 0 0 0
5 18 2 100159 0 0 0
5 18 3 100160 0 0 0
5 19 1 100161 0 0 0
5 19 2 100162 0 0 0
5 19 3 100163 0 0 0
5 20 1 100164 0 0 0
5 20 2 101608 0 0 0
5 20 3 100166 0 0 0
5 21 1 100167 0 0 0
5 21 2 101716 0 0 0
5 21 3 101717 0 0 0
5 22 1 101718 0 0 0
5 22 2 101719 0 0 0
5 22 3 101723 0 0 0
      
      
6 0 0 25.739 -4.985 0.009 
6 0 1 102252 4.04 0.3 0
6 0 2 102248 4.04 0.24 0
6 1 1 101664 0 0 0
6 1 2 101663 0 0 0
6 1 3 101662 0 0 0
6 2 1 101661 0 0 0
6 2 2 101660 0 0 0
6 2 3 101659 0 0 0
6 3 1 101658 0 0 0
6 3 2 100136 0 0 0
6 3 3 100137 0 0 0
6 4 1 100138 0 0 0
6 4 2 100034 0 0 0
6 4 3 100035 0 0 0
6 5 1 100036 0 0 0
6 5 2 100037 0 0 0
6 5 3 100038 0 0 0
6 6 1 100039 0 0 0
6 6 2 100040 0 0 0
6 6 3 100041 0 0 0
6 7 1 100042 0 0 0
6 7 2 100043 0 0 0
6 7 3 100044 0 0 0
6 8 1 100045 0 0 0
6 8 2 100046 0 0 0
6 8 3 100047 0 0 0
6 9 1 100048 0 0 0
6 9 2 100049 0 0 0
6 9 3 100050 0 0 0
6 10 1 100051 0 0 0
6 10 2 100052 0 0 0
6 10 3 100053 0 0 0
6 11 1 100054 0 0 0
6 11 2 100055 0 0 0
6 11 3 100000 0 0 0
6 12 1 100001 0 0 0
6 12 2 100139 0 0 0
6 12 3 100135 0 0 0
6 13 1 100134 0 0 0
6 13 2 100133 0 0 0
6 13 3 100132 0 0 0
6 14 1 100128 0 0 0
6 14 2 100129 0 0 0
6 14 3 100124 0 0 0
6 15 1 100125 0 0 0
6 15 2 100130 0 0 0
6 15 3 100131 0 0 0
6 16 1 100126 0 0 0
6 16 2 100120 0 0 0
6 16 3 100121 0 0 0
6 17 1 100116 0 0 0
6 17 2 100117 0 0 0
6 17 3 100122 0 0 0
6 18 1 100112 0 0 0
6 18 2 100113 0 0 0
6 18 3 100118 0 0 0
6 19 1 100114 0 0 0
6 19 2 100127 0 0 0
6 19 3 100123 0 0 0
6 20 1 100115 0 0 0
6 20 2 100119 0 0 0
6 20 3 100093 0 0 0
6 21 1 100090 0 0 0
6 21 2 101711 0 0 0
6 21 3 101712 0 0 0
6 22 1 101713 0 0 0
6 22 2 101714 0 0 0
6 22 3 101715 0 0 0
      
      
      
7 0 0 25.758 -6.683 0.009 
7 0 1 102256 4.04 0.3 0
7 0 2 102260 4.04 0.24 0
7 1 1 101671 0 0 0
7 1 2 101670 0 0 0
7 1 3 101669 0 0 0
7 2 1 101668 0 0 0
7 2 2 101667 0 0 0
7 2 3 101666 0 0 0
7 3 1 101665 0 0 0
7 3 2 100091 0 0 0
7 3 3 100087 0 0 0
7 4 1 100086 0 0 0
7 4 2 100089 0 0 0
7 4 3 100088 0 0 0
7 5 1 100092 0 0 0
7 5 2 100094 0 0 0
7 5 3 100095 0 0 0
7 6 1 100085 0 0 0
7 6 2 100084 0 0 0
7 6 3 100099 0 0 0
7 7 1 100098 0 0 0
7 7 2 100097 0 0 0
7 7 3 100096 0 0 0
7 8 1 100102 0 0 0
7 8 2 100103 0 0 0
