QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:6:23.6039 100330 0.0636973 | 0.0516022 -0.0373437 1.05904 | 6.68022 -0.255995 0.277303 | 6.62861 -0.218651 -0.781735
2024-5-18_22:6:23.6138 100330 0.0708619 | 0.0614293 -0.0353249 0.919038 | 6.69004 -0.253976 0.137303 | 6.62861 -0.218651 -0.781735
2024-5-18_22:6:23.6238 100330 0.0439188 | 0.0307403 -0.0313671 0.799662 | 6.69996 -0.251174 -0.0626972 | 6.66922 -0.219807 -0.862359
2024-5-18_22:6:23.6338 100330 0.0389276 | 0.0281509 -0.0268864 0.473082 | 6.70911 -0.246741 -0.402697 | 6.68096 -0.219855 -0.875779
2024-5-18_22:6:23.6418 100330 0.0352819 | 0.0262069 -0.0236222 0.22393 | 6.71893 -0.243516 -0.662697 | 6.69273 -0.219894 -0.886627
2024-5-18_22:6:23.6538 100330 0.0313049 | 0.0241373 -0.0199347 -0.0636298 | 6.72855 -0.239851 -0.962697 | 6.70441 -0.219916 -0.899067
2024-5-18_22:6:23.6619 100330 0.0293172 | 0.022842 -0.0183777 -0.199787 | 6.73899 -0.238277 -1.1127 | 6.71615 -0.219899 -0.91291
2024-5-18_22:6:23.6738 100330 0.026541 | 0.0214029 -0.0156952 -0.405824 | 6.74928 -0.235636 -1.3327 | 6.72788 -0.219941 -0.926873
2024-5-18_22:6:23.6818 100330 0.0242539 | 0.02017 -0.0134693 -0.60231 | 6.75984 -0.23343 -1.5427 | 6.73967 -0.219961 -0.940387
2024-5-18_22:6:23.6938 100330 0.0216708 | 0.0186769 -0.0109907 -0.828769 | 6.77024 -0.230926 -1.7827 | 6.75156 -0.219935 -0.953928
2024-5-18_22:6:23.7019 100330 0.0305857 | 0.029246 -0.00895298 -1.03877 | 6.78081 -0.228888 -1.9927 | 6.75156 -0.219935 -0.953928
2024-5-18_22:6:23.7139 100330 0.0401424 | 0.0396119 -0.00650512 -1.28877 | 6.79118 -0.22644 -2.2427 | 6.75156 -0.219935 -0.953928
2024-5-18_22:6:23.7238 100330 0.0495874 | 0.0494541 -0.00363344 -1.59877 | 6.80102 -0.223569 -2.5527 | 6.75156 -0.219935 -0.953928
2024-5-18_22:6:24.4038 100325 0.0645566 | 0.0519194 -0.0383658 0.915182 | 7.67014 -0.276566 -0.612697 | 7.61822 -0.2382 -1.52788
