QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:12:56.2407 100317 0.0169567 | 0.0167937 -0.0023451 -0.743152 | 12.2351 -0.331251 -179.753 | 12.2183 -0.328906 -179.01
2024-5-18_22:12:56.2507 100317 0.0180505 | 0.0176555 -0.00375521 -0.852428 | 12.2358 -0.332707 -179.863 | 12.2181 -0.328952 -179.01
2024-5-18_22:12:56.2607 100317 0.0182682 | 0.0178648 -0.00381784 -0.861608 | 12.2358 -0.332839 -179.873 | 12.218 -0.329022 -179.011
2024-5-18_22:12:56.2727 100317 0.0182473 | 0.0179696 -0.0031714 -0.821048 | 12.2358 -0.332309 -179.833 | 12.2178 -0.329138 -179.012
2024-5-18_22:12:56.2807 100317 0.018212 | 0.018024 -0.0026096 -0.801184 | 12.2357 -0.331828 -179.813 | 12.2176 -0.329218 -179.012
2024-5-18_22:12:56.2927 100317 0.0179853 | 0.0178824 -0.0019205 -0.751212 | 12.2353 -0.331166 -179.763 | 12.2174 -0.329245 -179.011
2024-5-18_22:12:56.3017 100317 0.0180208 | 0.0179094 -0.00200113 -0.741526 | 12.2353 -0.33125 -179.753 | 12.2174 -0.329249 -179.011
2024-5-18_22:12:56.3107 100317 0.018184 | 0.0180423 -0.00226588 -0.761526 | 12.2354 -0.331515 -179.773 | 12.2174 -0.329249 -179.011
2024-5-18_22:12:56.3207 100317 0.0193031 | 0.0188621 -0.00410255 -0.796636 | 12.2357 -0.332044 -179.813 | 12.2168 -0.327942 -179.016
2024-5-18_22:12:56.3307 100317 0.019376 | 0.0189778 -0.00390775 -0.786868 | 12.2356 -0.331912 -179.803 | 12.2166 -0.328004 -179.016
2024-5-18_22:12:56.3407 100317 0.019651 | 0.0192445 -0.00397633 -0.796335 | 12.2357 -0.332044 -179.813 | 12.2164 -0.328068 -179.016
2024-5-18_22:12:56.3517 100317 0.0200092 | 0.019567 -0.00418331 -0.816075 | 12.2358 -0.332309 -179.833 | 12.2162 -0.328126 -179.017
2024-5-18_22:12:56.3607 100317 0.0201736 | 0.0197453 -0.00413488 -0.815543 | 12.2358 -0.332309 -179.833 | 12.2161 -0.328174 -179.017
2024-5-18_22:12:56.3707 100317 0.0204245 | 0.019988 -0.00419981 -0.824723 | 12.2359 -0.332442 -179.843 | 12.2159 -0.328242 -179.018
2024-5-18_22:12:56.3807 100317 0.0207707 | 0.0203075 -0.00436222 -0.844586 | 12.236 -0.332707 -179.863 | 12.2157 -0.328344 -179.018
2024-5-18_22:12:56.3907 100317 0.0207733 | 0.0203829 -0.0040086 -0.824518 | 12.2359 -0.332442 -179.843 | 12.2155 -0.328433 -179.018
