QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:0:23.46 100323 0.0247773 | 0.0185397 0.0164376 -1.373 | 9.78285 -0.309913 -2.72113 | 9.76431 -0.326351 -1.34812
2024-5-19_12:0:23.47 100323 0.0267657 | 0.0161995 0.0213068 -1.7932 | 9.79337 -0.305618 -3.13113 | 9.77717 -0.326925 -1.33793
2024-5-19_12:0:23.48 100323 0.0275419 | 0.0149868 0.0231073 -1.96187 | 9.80503 -0.304337 -3.29113 | 9.79005 -0.327444 -1.32926
2024-5-19_12:0:24.131 100322 0.0390094 | 0.034475 -0.018254 1.2188 | 10.6863 -0.363045 -0.00112738 | 10.6518 -0.344791 -1.21993
2024-5-19_12:0:24.141 100322 0.0339919 | 0.031538 -0.0126809 0.87627 | 10.6964 -0.357794 -0.341127 | 10.6649 -0.345113 -1.2174
2024-5-19_12:0:24.15 100322 0.0307024 | 0.0294148 -0.00879824 0.632888 | 10.7073 -0.354295 -0.581127 | 10.6779 -0.345497 -1.21401
2024-5-19_12:0:24.159 100322 0.0280453 | 0.0276791 -0.00451688 0.35285 | 10.7188 -0.350489 -0.851127 | 10.6911 -0.345972 -1.20398
2024-5-19_12:0:24.17 100322 0.0252841 | 0.0252593 0.00111834 -0.0529458 | 10.7295 -0.345382 -1.24113 | 10.7043 -0.3465 -1.18818
2024-5-19_12:0:24.179 100322 0.0244156 | 0.024054 0.00418674 -0.279704 | 10.7415 -0.342856 -1.45113 | 10.7175 -0.347042 -1.17142
2024-5-19_12:0:24.19 100322 0.03643 | 0.0357976 0.00675866 -0.499704 | 10.7533 -0.340284 -1.67113 | 10.7175 -0.347042 -1.17142
2024-5-19_12:0:24.199 100322 0.0282264 | 0.0270286 0.00813535 -0.870502 | 10.7653 -0.336919 -1.96113 | 10.7383 -0.345054 -1.09063
2024-5-19_12:0:24.21 100322 0.0277116 | 0.0253209 0.0112597 -1.1659 | 10.7771 -0.333676 -2.25113 | 10.7518 -0.344935 -1.08523
2024-5-19_12:0:24.219 100322 0.028254 | 0.0235567 0.0156003 -1.5346 | 10.7886 -0.32968 -2.61113 | 10.765 -0.34528 -1.07652
2024-5-19_12:0:24.23 100322 0.0286562 | 0.0227518 0.0174222 -1.73188 | 10.8009 -0.328159 -2.80113 | 10.7782 -0.345581 -1.06925
2024-5-19_12:0:24.239 100322 0.0299087 | 0.0211262 0.0211711 -2.08926 | 10.8124 -0.324779 -3.15113 | 10.7913 -0.34595 -1.06186
2024-5-19_12:0:57.161 100317 0.0200303 | -0.0123952 0.0157344 0.461185 | 12.3282 -0.371379 177.439 | 12.3406 -0.387114 176.978
2024-5-19_12:0:57.17 100317 0.0173384 | -0.0113605 0.0130981 0.271213 | 12.3174 -0.373439 177.259 | 12.3287 -0.386537 176.988
2024-5-19_12:0:57.178 100317 0.0130634 | -0.00982967 0.00860404 -0.0367371 | 12.307 -0.37734 176.959 | 12.3168 -0.385944 176.996
2024-5-19_12:0:57.188 100317 0.0219584 | -0.0209887 0.00645326 -0.236737 | 12.2959 -0.379491 176.759 | 12.3168 -0.385944 176.996
2024-5-19_12:0:57.198 100317 0.00622551 | -0.00615354 0.000943884 -0.56645 | 12.2852 -0.383347 176.429 | 12.2914 -0.38429 176.995
2024-5-19_12:0:57.21 100317 0.00552689 | -0.00519755 -0.00187937 -0.733868 | 12.2736 -0.384964 176.269 | 12.2788 -0.383084 177.003
2024-5-19_12:0:57.219 100317 0.00696884 | -0.00387267 -0.00579372 -1.05193 | 12.263 -0.38833 175.959 | 12.2669 -0.382536 177.011
2024-5-19_12:0:57.228 100317 0.00841443 | -0.00351763 -0.00764388 -1.23057 | 12.2515 -0.389699 175.789 | 12.255 -0.382055 177.019
