QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:4:0.343551 100332 0.0835812 | 0.0514741 -0.06585 0.0183988 | 311.763 -198.553 -91.2838 | 311.712 -198.487 -91.3022
2024-5-17 17:4:0.352546 100332 0.0844368 | 0.0545746 -0.0644297 -0.209525 | 311.766 -198.567 -91.5138 | 311.711 -198.503 -91.3043
2024-5-17 17:4:0.371547 100332 0.0759637 | 0.0598295 -0.0468072 -0.55624 | 311.77 -198.581 -91.8738 | 311.71 -198.534 -91.3176
2024-5-17 17:4:0.381543 100332 0.0764355 | 0.0608172 -0.0462996 -0.649225 | 311.771 -198.596 -91.9738 | 311.71 -198.55 -91.3246
2024-5-17 17:4:0.391579 100332 0.0819442 | 0.0627342 -0.0527188 -0.835571 | 311.773 -198.61 -92.1638 | 311.71 -198.557 -91.3282
2024-5-17 17:4:0.403579 100332 0.0890434 | 0.0670384 -0.0586053 -1.21175 | 311.777 -198.624 -92.5438 | 311.71 -198.565 -91.3321
2024-5-17 17:4:0.411551 100332 0.100343 | 0.0685387 -0.0732876 -1.40175 | 311.778 -198.638 -92.7338 | 311.71 -198.565 -91.3321
2024-5-17 17:4:0.422552 100332 0.0819534 | 0.0752624 -0.0324334 -1.71181 | 311.782 -198.652 -93.0838 | 311.707 -198.62 -91.372
2024-5-17 17:4:0.431548 100332 0.0841337 | 0.0784249 -0.0304633 -2.04068 | 311.785 -198.666 -93.4138 | 311.706 -198.635 -91.3731
2024-5-17 17:4:1.61358 100331 0.086541 | 0.0414628 -0.0759618 0.148103 | 311.703 -200.535 -91.4238 | 311.661 -200.459 -91.5719
