QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:57:32.6987 100325 0.0237959 | 0.0113888 -0.0208935 0.779552 | 7.67659 -0.280393 -3.29785 | 7.6652 -0.259499 -4.0774
2024-5-19_13:57:32.7066 100325 0.0239104 | 0.0115905 -0.0209134 0.779368 | 7.6768 -0.280405 -3.29785 | 7.66521 -0.259492 -4.07722
2024-5-19_13:57:32.7186 100325 0.0238094 | 0.011375 -0.0209165 0.779376 | 7.67659 -0.280393 -3.29785 | 7.66521 -0.259476 -4.07723
2024-5-19_13:57:32.7266 100325 0.022839 | 0.0107412 -0.0201555 0.740558 | 7.67636 -0.279825 -3.33785 | 7.66561 -0.25967 -4.07841
2024-5-19_13:57:32.7386 100325 0.0234821 | 0.0109987 -0.0207469 0.780574 | 7.67659 -0.280393 -3.29785 | 7.66559 -0.259646 -4.07842
2024-5-19_13:57:32.7477 100325 0.0230049 | 0.0109891 -0.0202105 0.740591 | 7.67657 -0.279838 -3.33785 | 7.66558 -0.259627 -4.07844
2024-5-19_13:57:32.7586 100325 0.0233523 | 0.0111257 -0.0205316 0.760029 | 7.67668 -0.280121 -3.31785 | 7.66556 -0.25959 -4.07788
2024-5-19_13:57:32.7666 100325 0.0233029 | 0.0111198 -0.0204786 0.749278 | 7.67663 -0.279979 -3.32785 | 7.66551 -0.259501 -4.07713
2024-5-19_13:57:32.7786 100325 0.0228811 | 0.0109995 -0.0200638 0.718337 | 7.67645 -0.279554 -3.35785 | 7.66545 -0.25949 -4.07619
2024-5-19_13:57:32.7866 100325 0.0239206 | 0.0114419 -0.0210066 0.788836 | 7.67686 -0.280547 -3.28785 | 7.66542 -0.25954 -4.07669
2024-5-19_13:57:32.7986 100325 0.0233453 | 0.0112567 -0.0204522 0.749337 | 7.67663 -0.279979 -3.32785 | 7.66537 -0.259527 -4.07719
2024-5-19_13:57:32.8077 100325 0.023696 | 0.0114015 -0.0207728 0.769536 | 7.67674 -0.280263 -3.30785 | 7.66534 -0.25949 -4.07739
2024-5-19_13:57:32.8186 100325 0.023624 | 0.0112265 -0.020786 0.769642 | 7.67653 -0.280251 -3.30785 | 7.6653 -0.259465 -4.07749
2024-5-19_13:57:32.8266 100325 0.0235591 | 0.0112682 -0.0206896 0.785216 | 7.67659 -0.280393 -3.29785 | 7.66532 -0.259703 -4.08307
2024-5-19_13:57:32.8386 100325 0.0236626 | 0.0115065 -0.0206766 0.784748 | 7.6768 -0.280405 -3.29785 | 7.66529 -0.259729 -4.0826
2024-5-19_13:57:32.8466 100325 0.0235822 | 0.0113197 -0.0206878 0.785048 | 7.67659 -0.280393 -3.29785 | 7.66527 -0.259705 -4.0829
2024-5-19_13:57:32.8586 100325 0.0237373 | 0.0115828 -0.0207195 0.785258 | 7.6768 -0.280405 -3.29785 | 7.66522 -0.259686 -4.08311
2024-5-19_13:57:32.8666 100325 0.0230522 | 0.0111966 -0.0201505 0.744989 | 7.67636 -0.279825 -3.33785 | 7.66516 -0.259675 -4.08284
2024-5-19_13:57:32.8786 100325 0.023624 | 0.0114325 -0.0206735 0.774815 | 7.67653 -0.280251 -3.30785 | 7.6651 -0.259578 -4.08267
2024-5-19_13:57:32.8877 100325 0.023537 | 0.0114214 -0.0205802 0.764353 | 7.67647 -0.280109 -3.31785 | 7.66505 -0.259529 -4.0822
2024-5-19_13:57:32.8986 100325 0.023259 | 0.0113263 -0.020315 0.744273 | 7.67636 -0.279825 -3.33785 | 7.66503 -0.25951 -4.08212
2024-5-19_13:57:32.9067 100325 0.0238421 | 0.0117228 -0.020761 0.77409 | 7.67674 -0.280263 -3.30785 | 7.66502 -0.259502 -4.08194
2024-5-19_13:57:32.9187 100325 0.0237056 | 0.0116731 -0.0206324 0.764001 | 7.67668 -0.280121 -3.31785 | 7.66501 -0.259489 -4.08185
2024-5-19_13:57:32.9276 100325 0.0240101 | 0.0117898 -0.0209162 0.784001 | 7.6768 -0.280405 -3.29785 | 7.66501 -0.259489 -4.08185
2024-5-19_13:57:32.9396 100325 0.0228774 | 0.011156 -0.019973 0.734008 | 7.6763 -0.279683 -3.34785 | 7.66514 -0.25971 -4.08186
2024-5-19_13:57:32.9478 100325 0.0235868 | 0.0116418 -0.0205135 0.774414 | 7.67674 -0.280263 -3.30785 | 7.6651 -0.25975 -4.08226
2024-5-19_13:57:32.9586 100325 0.0236048 | 0.0117042 -0.0204987 0.7753 | 7.67674 -0.280263 -3.30785 | 7.66504 -0.259765 -4.08315
2024-5-19_13:57:32.9676 100325 0.0233773 | 0.0116687 -0.0202569 0.756181 | 7.67663 -0.279979 -3.32785 | 7.66496 -0.259723 -4.08403
2024-5-19_13:57:32.9786 100325 0.0239211 | 0.0119209 -0.0207391 0.786588 | 7.6768 -0.280405 -3.29785 | 7.66488 -0.259666 -4.08444
2024-5-19_13:57:32.9866 100325 0.0235548 | 0.0118184 -0.0203753 0.756802 | 7.67663 -0.279979 -3.32785 | 7.66481 -0.259604 -4.08465
2024-5-19_13:57:32.9987 100325 0.0241085 | 0.0119107 -0.0209608 0.797593 | 7.67665 -0.280535 -3.28785 | 7.66474 -0.259574 -4.08544
2024-5-19_13:57:33.0066 100325 0.0237752 | 0.0119678 -0.0205434 0.767889 | 7.67668 -0.280121 -3.31785 | 7.66472 -0.259578 -4.08574
2024-5-19_13:57:33.0187 100325 0.0239697 | 0.0118847 -0.0208159 0.788091 | 7.67659 -0.280393 -3.29785 | 7.6647 -0.259577 -4.08594
2024-5-19_13:57:33.0266 100325 0.0235133 | 0.0117097 -0.0203901 0.758091 | 7.67641 -0.279967 -3.32785 | 7.6647 -0.259577 -4.08594
2024-5-19_13:57:33.0356 100325 0.0236704 | 0.0116218 -0.0206209 0.77932 | 7.67674 -0.280263 -3.30785 | 7.66512 -0.259642 -4.08717
2024-5-19_13:57:33.0487 100325 0.0238349 | 0.0116977 -0.020767 0.788475 | 7.6768 -0.280405 -3.29785 | 7.6651 -0.259638 -4.08633
2024-5-19_13:57:33.0587 100325 0.0229404 | 0.0113657 -0.019927 0.726955 | 7.67645 -0.279554 -3.35785 | 7.66509 -0.259627 -4.08481
2024-5-19_13:57:33.0696 100325 0.0241881 | 0.0118612 -0.0210802 0.805435 | 7.67692 -0.280689 -3.27785 | 7.66506 -0.259609 -4.08329
2024-5-19_13:57:33.0786 100325 0.0241861 | 0.0118941 -0.0210594 0.805263 | 7.67692 -0.280689 -3.27785 | 7.66502 -0.25963 -4.08311
2024-5-19_13:57:33.0866 100325 0.0236852 | 0.0117314 -0.0205758 0.775664 | 7.67674 -0.280263 -3.30785 | 7.66501 -0.259688 -4.08351
2024-5-19_13:57:33.0986 100325 0.0235001 | 0.0116898 -0.0203864 0.765971 | 7.67668 -0.280121 -3.31785 | 7.66499 -0.259735 -4.08382
2024-5-19_13:57:33.1067 100325 0.0233289 | 0.0116611 -0.0202054 0.75598 | 7.67663 -0.279979 -3.32785 | 7.66497 -0.259774 -4.08383
2024-5-19_13:57:33.1186 100325 0.0240933 | 0.011989 -0.0208986 0.805895 | 7.67692 -0.280689 -3.27785 | 7.66493 -0.25979 -4.08374
2024-5-19_13:57:33.1296 100325 0.0230979 | 0.0111291 -0.02024 0.76237 | 7.67647 -0.280109 -3.31785 | 7.66534 -0.259869 -4.08022
2024-5-19_13:57:33.1386 100325 0.0234014 | 0.0114806 -0.0203917 0.772679 | 7.67674 -0.280263 -3.30785 | 7.66526 -0.259872 -4.08053
2024-5-19_13:57:33.1476 100325 0.0229903 | 0.0113801 -0.0199761 0.742603 | 7.67657 -0.279838 -3.33785 | 7.66519 -0.259861 -4.08045
2024-5-19_13:57:33.1587 100325 0.023246 | 0.0113389 -0.020293 0.762431 | 7.67647 -0.280109 -3.31785 | 7.66513 -0.259816 -4.08028
2024-5-19_13:57:33.1666 100325 0.0233568 | 0.0115715 -0.0202889 0.762449 | 7.67668 -0.280121 -3.31785 | 7.66511 -0.259832 -4.0803
2024-5-19_13:57:33.1786 100325 0.0238077 | 0.01179 -0.0206834 0.792178 | 7.67686 -0.280547 -3.28785 | 7.66507 -0.259864 -4.08003
2024-5-19_13:57:33.1866 100325 0.0236715 | 0.0117888 -0.0205271 0.782391 | 7.6768 -0.280405 -3.29785 | 7.66501 -0.259878 -4.08024
2024-5-19_13:57:33.1986 100325 0.0231279 | 0.0114661 -0.0200855 0.753469 | 7.67641 -0.279967 -3.32785 | 7.66495 -0.259882 -4.08132
2024-5-19_13:57:33.2066 100325 0.0231366 | 0.0114842 -0.0200853 0.753574 | 7.67641 -0.279967 -3.32785 | 7.66493 -0.259882 -4.08142
2024-5-19_13:57:33.2186 100325 0.0237212 | 0.011878 -0.0205331 0.783487 | 7.6768 -0.280405 -3.29785 | 7.66492 -0.259872 -4.08134
