QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:1:50.9787 100330 0.0225408 | 0.0185457 -0.0128118 0.232076 | 6.73543 -0.21522 -2.48113 | 6.71688 -0.202408 -2.7132
2024-5-19_12:1:50.9877 100330 0.0222245 | 0.0189374 -0.011632 0.142076 | 6.73582 -0.21404 -2.57113 | 6.71688 -0.202408 -2.7132
2024-5-19_12:1:50.9997 100330 0.0233524 | 0.0198282 -0.012336 0.192076 | 6.73671 -0.214744 -2.52113 | 6.71688 -0.202408 -2.7132
2024-5-19_12:1:51.0077 100330 0.0201671 | 0.0153011 -0.0131373 0.146957 | 6.73734 -0.214675 -2.56113 | 6.72203 -0.201537 -2.70808
2024-5-19_12:1:51.0187 100330 0.0204771 | 0.015482 -0.0134022 0.196493 | 6.73825 -0.214944 -2.51113 | 6.72276 -0.201542 -2.70762
2024-5-19_12:1:51.0277 100330 0.0197553 | 0.0152826 -0.0125186 0.125852 | 6.73874 -0.214039 -2.58113 | 6.72346 -0.20152 -2.70698
2024-5-19_12:1:51.0387 100330 0.0184803 | 0.0146823 -0.0112229 0.0252926 | 6.73887 -0.212721 -2.68113 | 6.72419 -0.201498 -2.70642
2024-5-19_12:1:51.0477 100330 0.0196188 | 0.0151103 -0.0125129 0.115315 | 6.73996 -0.213962 -2.59113 | 6.72485 -0.201449 -2.70644
2024-5-19_12:1:51.0599 100330 0.0195429 | 0.015088 -0.0124207 0.105338 | 6.74055 -0.213856 -2.60113 | 6.72546 -0.201436 -2.70647
2024-5-19_12:1:51.0677 100330 0.019722 | 0.0151681 -0.012605 0.115073 | 6.74124 -0.214019 -2.59113 | 6.72607 -0.201414 -2.7062
2024-5-19_12:1:51.0787 100330 0.0198802 | 0.0152248 -0.0127838 0.124712 | 6.74192 -0.214182 -2.58113 | 6.7267 -0.201399 -2.70584
2024-5-19_12:1:51.0877 100330 0.0200201 | 0.0157095 -0.0124104 0.0947122 | 6.74241 -0.213809 -2.61113 | 6.7267 -0.201399 -2.70584
2024-5-19_12:1:51.0987 100330 0.0167154 | 0.013232 -0.0102136 -0.0277253 | 6.74244 -0.21223 -2.73113 | 6.72921 -0.202016 -2.7034
2024-5-19_12:1:51.1077 100330 0.0169746 | 0.0132166 -0.0106517 0.00162394 | 6.74301 -0.212652 -2.70113 | 6.7298 -0.202 -2.70275
2024-5-19_12:1:51.1187 100330 0.0171993 | 0.0133522 -0.0108414 0.0102897 | 6.7437 -0.212816 -2.69113 | 6.73035 -0.201975 -2.70142
2024-5-19_12:1:51.1277 100330 0.0170083 | 0.0130835 -0.0108675 -0.0204452 | 6.74395 -0.212868 -2.72113 | 6.73087 -0.202 -2.70068
2024-5-19_12:1:51.1387 100330 0.0164992 | 0.0130238 -0.0101294 -0.0607086 | 6.7444 -0.212147 -2.76113 | 6.73138 -0.202017 -2.70042
2024-5-19_12:1:51.1477 100330 0.0168305 | 0.0131104 -0.0105538 -0.0310704 | 6.74498 -0.212568 -2.73113 | 6.73187 -0.202014 -2.70006
2024-5-19_12:1:51.1587 100330 0.0163676 | 0.0130748 -0.00984625 -0.0709523 | 6.74542 -0.211848 -2.77113 | 6.73235 -0.202002 -2.70018
2024-5-19_12:1:51.1677 100330 0.015769 | 0.0127977 -0.00921299 -0.120254 | 6.74559 -0.211201 -2.82113 | 6.7328 -0.201988 -2.70087
2024-5-19_12:1:51.1787 100330 0.0166382 | 0.0131529 -0.0101898 -0.0491741 | 6.74637 -0.212156 -2.75113 | 6.73322 -0.201966 -2.70195
2024-5-19_12:1:51.1877 100330 0.0175877 | 0.0135523 -0.0112099 -0.00867894 | 6.74698 -0.213142 -2.71113 | 6.73342 -0.201932 -2.70245
2024-5-19_12:1:51.1987 100330 0.0170153 | 0.0138566 -0.00987498 -0.0786789 | 6.74728 -0.211807 -2.78113 | 6.73342 -0.201932 -2.70245
2024-5-19_12:1:51.2077 100330 0.0161332 | 0.0132425 -0.00921496 -0.0717309 | 6.74771 -0.211828 -2.78113 | 6.73446 -0.202613 -2.7094
2024-5-19_12:1:51.2187 100330 0.0158777 | 0.0131356 -0.00891961 -0.10161 | 6.74798 -0.211449 -2.81113 | 6.73484 -0.20253 -2.70952
2024-5-19_12:1:51.2277 100330 0.0159062 | 0.0130733 -0.00906074 -0.111683 | 6.74834 -0.211553 -2.82113 | 6.73527 -0.202493 -2.70944
2024-5-19_12:1:51.2387 100330 0.0159511 | 0.0131639 -0.00900826 -0.10166 | 6.74883 -0.211491 -2.81113 | 6.73566 -0.202483 -2.70947
2024-5-19_12:1:51.2477 100330 0.0160269 | 0.0132079 -0.00907822 -0.101444 | 6.74925 -0.211512 -2.81113 | 6.73604 -0.202433 -2.70968
2024-5-19_12:1:51.2588 100330 0.0159225 | 0.0130444 -0.00913083 -0.101324 | 6.74947 -0.211522 -2.81113 | 6.73642 -0.202391 -2.7098
2024-5-19_12:1:51.2677 100330 0.0159995 | 0.0130898 -0.00920017 -0.100629 | 6.74989 -0.211543 -2.81113 | 6.7368 -0.202343 -2.7105
2024-5-19_12:1:51.2787 100330 0.0156603 | 0.0129838 -0.00875606 -0.14051 | 6.75011 -0.211033 -2.85113 | 6.73713 -0.202277 -2.71062
2024-5-19_12:1:51.2877 100330 0.0161989 | 0.0132392 -0.00933427 -0.100403 | 6.75053 -0.211574 -2.81113 | 6.73729 -0.20224 -2.71072
2024-5-19_12:1:51.2997 100330 0.0158687 | 0.0133623 -0.00855956 -0.160403 | 6.75065 -0.210799 -2.87113 | 6.73729 -0.20224 -2.71072
2024-5-19_12:1:51.3077 100330 0.0163952 | 0.0137251 -0.00896791 -0.130403 | 6.75101 -0.211208 -2.84113 | 6.73729 -0.20224 -2.71072
