QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:54.7334 100330 0.00664724 | -0.00161509 -0.00644805 -0.779303 | 6.77119 -0.211979 -2.7327 | 6.7728 -0.205531 -1.95339
2024-5-19_11:55:54.7454 100330 0.00522827 | -0.00207943 -0.00479696 -0.920212 | 6.77219 -0.210294 -2.8727 | 6.77427 -0.205497 -1.95248
2024-5-19_11:55:54.7534 100330 0.00566508 | -0.00194951 -0.00531907 -0.900641 | 6.77377 -0.210836 -2.8527 | 6.77572 -0.205517 -1.95206
2024-5-19_11:55:54.7654 100330 0.00532913 | -0.00202546 -0.00492922 -0.920882 | 6.77516 -0.210443 -2.8727 | 6.77719 -0.205513 -1.95182
2024-5-19_11:55:54.7734 100330 0.00586696 | -0.00162486 -0.00563747 -0.890639 | 6.777 -0.211121 -2.8427 | 6.77862 -0.205483 -1.95206
2024-5-19_11:55:54.7854 100330 0.0045631 | -0.00136214 -0.00435505 -1.00038 | 6.77794 -0.209817 -2.9527 | 6.77931 -0.205462 -1.95232
2024-5-19_11:55:54.7934 100330 0.00430731 | 7.42723e-05 -0.00430667 -1.01038 | 6.77938 -0.209769 -2.9627 | 6.77931 -0.205462 -1.95232
2024-5-19_11:55:54.8054 100330 0.00887341 | -0.00656693 -0.00596765 -0.975928 | 6.78075 -0.210084 -2.9427 | 6.78732 -0.204116 -1.96677
2024-5-19_11:55:54.8154 100330 0.00859256 | -0.00660109 -0.00550071 -1.02578 | 6.78199 -0.209538 -2.9927 | 6.78859 -0.204037 -1.96692
2024-5-19_11:55:54.8254 100330 0.00862502 | -0.00655568 -0.00560483 -1.02524 | 6.78326 -0.209604 -2.9927 | 6.78982 -0.204 -1.96745
2024-5-19_11:55:54.8334 100330 0.00826797 | -0.00652559 -0.005077 -1.07394 | 6.7845 -0.209062 -3.0427 | 6.79103 -0.203985 -1.96876
2024-5-19_11:55:54.8454 100330 0.00817191 | -0.00673404 -0.00462956 -1.1334 | 6.78547 -0.208602 -3.1027 | 6.79221 -0.203973 -1.9693
2024-5-19_11:55:54.8534 100330 0.00813341 | -0.00717317 -0.0038338 -1.20335 | 6.78619 -0.207793 -3.1727 | 6.79337 -0.203959 -1.96935
2024-5-19_11:55:54.8654 100330 0.008155 | -0.00685357 -0.00441958 -1.16368 | 6.78766 -0.208358 -3.1327 | 6.79451 -0.203938 -1.96902
2024-5-19_11:55:54.8754 100330 0.00792199 | -0.00730356 -0.00306854 -1.28431 | 6.78835 -0.206947 -3.2527 | 6.79565 -0.203879 -1.96839
2024-5-19_11:55:54.8854 100330 0.0080295 | -0.00742244 -0.0030627 -1.29378 | 6.78936 -0.206884 -3.2627 | 6.79678 -0.203821 -1.96892
2024-5-19_11:55:54.8934 100330 0.00708046 | -0.00674986 -0.00213828 -1.37378 | 6.79003 -0.20596 -3.3427 | 6.79678 -0.203821 -1.96892
2024-5-19_11:55:54.9054 100330 0.00661087 | -0.00626976 -0.00209613 -1.38332 | 6.79105 -0.205899 -3.3527 | 6.79732 -0.203803 -1.96937
2024-5-19_11:55:54.9154 100330 0.005659 | -0.00506366 -0.00252658 -1.35332 | 6.79225 -0.206329 -3.3227 | 6.79732 -0.203803 -1.96937
2024-5-19_11:55:54.9254 100330 0.00479433 | -0.00395443 -0.00271073 -1.34332 | 6.79336 -0.206513 -3.3127 | 6.79732 -0.203803 -1.96937
2024-5-19_11:55:54.9354 100330 0.0108873 | -0.0108857 -0.000187373 -1.38074 | 6.79421 -0.206301 -3.3527 | 6.8051 -0.206114 -1.97196
2024-5-19_11:55:54.9454 100330 0.0113573 | -0.0113343 0.000721269 -1.46126 | 6.79468 -0.205373 -3.4327 | 6.80601 -0.206094 -1.97144
2024-5-19_11:55:54.9534 100330 0.0114084 | -0.0113904 0.000639619 -1.46198 | 6.79552 -0.205424 -3.4327 | 6.80691 -0.206063 -1.97072
2024-5-19_11:55:54.9624 100330 0.0113118 | -0.0113104 0.000179581 -1.43261 | 6.79652 -0.205841 -3.4027 | 6.80783 -0.20602 -1.97009
2024-5-19_11:55:54.9754 100330 0.0108274 | -0.0108132 0.000554599 -1.49352 | 6.79791 -0.205427 -3.4627 | 6.80872 -0.205982 -1.96918
2024-5-19_11:55:54.9854 100330 0.0114803 | -0.011268 0.00219753 -1.63431 | 6.79787 -0.203762 -3.6027 | 6.80914 -0.205959 -1.96839
2024-5-19_11:55:54.9934 100330 0.010527 | -0.0104587 0.00119747 -1.55431 | 6.79868 -0.204762 -3.5227 | 6.80914 -0.205959 -1.96839
2024-5-19_11:55:55.0054 100330 0.0127627 | -0.0127105 0.00115302 -1.63996 | 6.79893 -0.203828 -3.6027 | 6.81164 -0.204981 -1.96274
2024-5-19_11:55:56.3764 100330 0.0133723 | -0.0132505 0.00180066 -1.57011 | 6.79948 -0.204692 -3.5327 | 6.81273 -0.206493 -1.96258
2024-5-19_11:55:56.3854 100330 0.0142555 | -0.0139568 0.00290263 -1.64004 | 6.79831 -0.203572 -3.6027 | 6.81227 -0.206475 -1.96266
2024-5-19_11:55:56.3944 100330 0.014263 | -0.0140925 0.00219884 -1.58004 | 6.79818 -0.204276 -3.5427 | 6.81227 -0.206475 -1.96266
2024-5-19_11:55:56.4054 100330 0.0147953 | -0.0145555 0.00265248 -1.58843 | 6.79728 -0.204102 -3.5527 | 6.81183 -0.206754 -1.96426
2024-5-19_11:55:56.4154 100330 0.0142091 | -0.0140678 0.00199847 -1.53876 | 6.79667 -0.204659 -3.5027 | 6.81074 -0.206657 -1.96393
2024-5-19_11:55:56.4254 100330 0.0137074 | -0.0136617 0.00111791 -1.469 | 6.79595 -0.205449 -3.4327 | 6.80961 -0.206567 -1.9637
