QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:52.3624 100330 0.0154553 | 0.0153265 -0.00199127 -0.118632 | 6.84643 -0.408027 11.5121 | 6.8311 -0.406036 11.6308
2024-5-19_13:43:52.3724 100330 0.0148719 | 0.0146963 -0.00227901 -0.142063 | 6.84776 -0.408177 11.4421 | 6.83306 -0.405898 11.5842
2024-5-19_13:43:52.3824 100330 0.0138787 | 0.0138514 -0.000869515 -0.216222 | 6.84886 -0.406626 11.3221 | 6.83501 -0.405757 11.5384
2024-5-19_13:43:52.4024 100330 0.0129689 | 0.0129298 -0.00100642 -0.241564 | 6.85177 -0.406493 11.2021 | 6.83884 -0.405487 11.4437
2024-5-19_13:43:52.4124 100330 0.014259 | 0.0142539 -0.00038355 -0.321564 | 6.85309 -0.40587 11.1221 | 6.83884 -0.405487 11.4437
2024-5-19_13:43:52.4234 100330 0.0142497 | 0.0141846 -0.00136085 -0.422397 | 6.85421 -0.404342 11.0021 | 6.84002 -0.402981 11.4245
2024-5-19_13:43:52.4324 100330 0.0138293 | 0.013776 -0.00121228 -0.442419 | 6.85566 -0.404053 10.9321 | 6.84188 -0.402841 11.3746
2024-5-19_13:43:52.4424 100330 0.0133339 | 0.0132478 -0.00151243 -0.463626 | 6.85698 -0.404234 10.8621 | 6.84373 -0.402722 11.3258
2024-5-19_13:43:52.4524 100330 0.0130497 | 0.0130272 -0.000766698 -0.477752 | 6.8586 -0.403385 10.8021 | 6.84558 -0.402619 11.2799
2024-5-19_13:43:52.4624 100330 0.0120939 | 0.0120938 4.32652e-05 -0.542583 | 6.85947 -0.402495 10.6921 | 6.84738 -0.402539 11.2347
2024-5-19_13:43:52.4724 100330 0.0119122 | 0.0119098 0.000235991 -0.547894 | 6.86105 -0.40223 10.6421 | 6.84914 -0.402466 11.19
2024-5-19_13:43:52.4824 100330 0.0113286 | 0.0113064 0.000708931 -0.583313 | 6.86217 -0.401679 10.5621 | 6.85086 -0.402388 11.1455
2024-5-19_13:43:52.4924 100330 0.0109555 | 0.0109173 0.000913264 -0.600398 | 6.86345 -0.40135 10.5021 | 6.85254 -0.402264 11.1025
2024-5-19_13:43:52.5024 100330 0.0113625 | 0.0112922 0.00126197 -0.649305 | 6.86466 -0.400916 10.4321 | 6.85336 -0.402178 11.0815
2024-5-19_13:43:52.5144 100330 0.0117139 | 0.0115883 0.00171098 -0.708212 | 6.86578 -0.400376 10.3521 | 6.85419 -0.402087 11.0604
2024-5-19_13:43:52.5224 100330 0.0181411 | 0.0181407 -0.000123208 -0.653075 | 6.86723 -0.400275 10.3121 | 6.84909 -0.400152 10.9652
2024-5-19_13:43:52.5324 100330 0.0172859 | 0.0172633 0.000882234 -0.731222 | 6.86777 -0.399133 10.1921 | 6.8505 -0.400015 10.9234
2024-5-19_13:43:52.5424 100330 0.0171765 | 0.0171601 0.000750268 -0.731447 | 6.86901 -0.399076 10.1521 | 6.85185 -0.399826 10.8836
2024-5-19_13:43:52.5524 100330 0.0168768 | 0.0168337 0.00120552 -0.765576 | 6.86997 -0.398483 10.0821 | 6.85313 -0.399689 10.8477
