QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5205 -0.706748 17.9628
100321 7.52244 -0.618121 178.971
100322 11.5445 -0.02752 179.389
100330 7.52732 0.0835403 179.26
MV_SC2005AM Start

 init 

2024-5-19_13:33:32.075 100330 0.0231643 | 0.0133278 -0.0189461 0.420226 | 6.75839 -0.301942 2.64939 | 6.74506 -0.282996 2.22917
2024-5-19_13:33:32.087 100330 0.0236999 | 0.0135229 -0.0194632 0.450573 | 6.75859 -0.30235 2.67939 | 6.74506 -0.282887 2.22882
2024-5-19_13:33:32.095 100330 0.0236919 | 0.0135008 -0.0194688 0.440729 | 6.75852 -0.302214 2.66939 | 6.74502 -0.282746 2.22867
2024-5-19_13:33:32.107 100330 0.0233718 | 0.0133696 -0.0191701 0.410599 | 6.75832 -0.301806 2.63939 | 6.74496 -0.282636 2.2288
2024-5-19_13:33:32.115 100330 0.0236699 | 0.0135006 -0.0194422 0.430599 | 6.75846 -0.302078 2.65939 | 6.74496 -0.282636 2.2288
2024-5-19_13:33:32.127 100330 0.0246626 | 0.013023 -0.0209439 0.451057 | 6.75852 -0.302214 2.66939 | 6.7455 -0.28127 2.21834
2024-5-19_13:33:32.135 100330 0.0242834 | 0.0128451 -0.020608 0.420348 | 6.75832 -0.301806 2.63939 | 6.74548 -0.281198 2.21905
2024-5-19_13:33:32.146 100330 0.0243809 | 0.0126835 -0.020822 0.429927 | 6.75818 -0.301952 2.64939 | 6.74549 -0.28113 2.21947
2024-5-19_13:33:32.1559 100330 0.0248867 | 0.0128667 -0.0213025 0.459985 | 6.75837 -0.30236 2.67939 | 6.74551 -0.281058 2.21941
2024-5-19_13:33:32.167 100330 0.0249677 | 0.0128729 -0.0213934 0.460426 | 6.75837 -0.30236 2.67939 | 6.7455 -0.280967 2.21897
2024-5-19_13:33:32.176 100330 0.0248936 | 0.0128498 -0.0213208 0.451839 | 6.75831 -0.302224 2.66939 | 6.74546 -0.280903 2.21756
